"Código","Región","Nombre comuna","Numero_personas","Porcentaje_pobreza","Limite_inferior","Limite_superior","Año"
3101,"III de Atacama","Copiapó",7980,0.0527710989117622,0.0414640605449677,0.0645844042301178,2013
3102,"III de Atacama","Caldera",1276,0.0822933241724968,0.0477615036070347,0.115785270929337,2013
3103,"III de Atacama","Tierra Amarilla",1459,0.0965727791190147,0.0517214760184288,0.132765844464302,2013
3201,"III de Atacama","Chañaral",1350,0.107375659048557,0.0667817890644073,0.156447559595108,2013
3202,"III de Atacama","Diego De Almagro",873,0.06054462864995,0.0360500104725361,0.0941724255681038,2013
3301,"III de Atacama","Vallenar",4188,0.0873059332370758,0.0625602826476097,0.110834054648876,2013
3302,"III de Atacama","Alto Del Carmen",1368,0.246717646718025,0.177279353141785,0.32352414727211,2013
3303,"III de Atacama","Freirina",622,0.101043991744518,0.0561840645968914,0.13406877219677,2013
3304,"III de Atacama","Huasco",1042,0.115153513848782,0.0710635110735893,0.165296301245689,2013
4101,"IV de Coquimbo","La Serena",26294,0.127650260925293,0.10922809690237,0.146408796310425,2013
4102,"IV de Coquimbo","Coquimbo",27924,0.127889215946198,0.108680866658688,0.14760947227478,2013
4103,"IV de Coquimbo","Andacollo",1661,0.148931995034218,0.0998262241482735,0.200173929333687,2013
4104,"IV de Coquimbo","La Higuera",1034,0.232500448822975,0.173276916146278,0.298855572938919,2013
4105,"IV de Coquimbo","Paiguano",772,0.174475997686386,0.11621005833149,0.244461730122566,2013
4106,"IV de Coquimbo","Vicuña",6327,0.242224603891373,0.193684622645378,0.300926983356476,2013
4201,"IV de Coquimbo","Illapel",5292,0.163940578699112,0.11892494559288,0.207300782203674,2013
4202,"IV de Coquimbo","Canela",3670,0.37517312169075,0.325114339590073,0.472077190876007,2013
4203,"IV de Coquimbo","Los Vilos",4884,0.249267801642418,0.207588642835617,0.308186441659927,2013
4204,"IV de Coquimbo","Salamanca",5100,0.190881058573723,0.137294068932533,0.244315102696419,2013
4301,"IV de Coquimbo","Ovalle",18267,0.157268643379211,0.128935948014259,0.181702628731728,2013
4302,"IV de Coquimbo","Combarbalá",4632,0.310253649950027,0.253273457288742,0.401352196931839,2013
4303,"IV de Coquimbo","Monte Patria",9503,0.287328511476517,0.234473809599876,0.351722002029419,2013
4304,"IV de Coquimbo","Punitaqui",2693,0.25533264875412,0.193479984998703,0.32267290353775,2013
4305,"IV de Coquimbo","Río Hurtado",1824,0.36948037147522,0.33408510684967,0.517711162567139,2013
3101,"III de Atacama","Copiapó",7934,0.0462421663105488,0.0313084609806538,0.067800484597683,2015
3102,"III de Atacama","Caldera",793.892,0.0531493611633778,0.0255117267370224,0.0798838138580322,2015
3103,"III de Atacama","Tierra Amarilla",1455.921,0.119838736951351,0.078698605298996,0.168986514210701,2015
3201,"III de Atacama","Chañaral",673,0.0576445385813713,0.0345545448362827,0.0946510508656502,2015
3202,"III de Atacama","Diego De Almagro",443.4497,0.0493929274380207,0.0277105662971735,0.0767847970128059,2015
3301,"III de Atacama","Vallenar",4475,0.101940862834454,0.0713800042867661,0.14356330037117,2015
3302,"III de Atacama","Alto Del Carmen",838.3133,0.187123507261276,0.109174899756908,0.257471531629562,2015
3303,"III de Atacama","Freirina",793.801,0.137812674045563,0.0946879982948303,0.190415158867836,2015
3304,"III de Atacama","Huasco",1042.098,0.134655386209488,0.0950141772627831,0.193755894899368,2015
4101,"IV de Coquimbo","La Serena",20243,0.0876187607645988,0.0681460201740265,0.111987136304379,2015
4102,"IV de Coquimbo","Coquimbo",22658,0.0972229391336441,0.0757532939314842,0.123961299657822,2015
4103,"IV de Coquimbo","Andacollo",657.244,0.085378535091877,0.0411172732710838,0.112770691514015,2015
4104,"IV de Coquimbo","La Higuera",830.5192,0.222182765603065,0.167249947786331,0.272751748561859,2015
4105,"IV de Coquimbo","Paiguano",469.3243,0.103489376604557,0.0427392944693565,0.135362476110458,2015
4106,"IV de Coquimbo","Vicuña",3373,0.128187581896782,0.0942311063408852,0.172056034207344,2015
4201,"IV de Coquimbo","Illapel",5474,0.18050517141819,0.146591305732727,0.220240190625191,2015
4202,"IV de Coquimbo","Canela",2346.344,0.312554091215134,0.245978280901909,0.36994069814682,2015
4203,"IV de Coquimbo","Los Vilos",2957.282,0.160234183073044,0.120137557387352,0.198197722434998,2015
4204,"IV de Coquimbo","Salamanca",3512.996,0.150166541337967,0.102280214428902,0.190291166305542,2015
4301,"IV de Coquimbo","Ovalle",24005,0.211643248796463,0.177339494228363,0.250561535358429,2015
4302,"IV de Coquimbo","Combarbalá",2855.485,0.250130116939545,0.190831303596497,0.315739244222641,2015
4303,"IV de Coquimbo","Monte Patria",9767.548,0.305541425943375,0.260376840829849,0.366584241390228,2015
4304,"IV de Coquimbo","Punitaqui",2871.596,0.27542644739151,0.220540717244148,0.338974893093109,2015
4305,"IV de Coquimbo","Río Hurtado",1817.292,0.448935687541962,0.415963143110275,0.602069914340973,2015
3101,"III de Atacama","Copiapó",11071,0.06261117,0.0502787,0.0751753,2017
3102,"III de Atacama","Caldera",1559,0.10440639,0.0724285,0.1661888,2017
3103,"III de Atacama","Tierra Amarilla",1797,0.14250434,0.0968351,0.1899004,2017
3201,"III de Atacama","Chañaral",1359,0.12068847,0.0861976,0.1873459,2017
3202,"III de Atacama","Diego de Almagro",619,0.07561532,0.0443874,0.1098019,2017
3301,"III de Atacama","Vallenar",3811,0.08833259,0.0729991,0.1034021,2017
3302,"III de Atacama","Alto del Carmen",679,0.15272638,0.0859394,0.1921609,2017
3303,"III de Atacama","Freirina",902,0.15726887,0.1065921,0.2113856,2017
3304,"III de Atacama","Huasco",746,0.0972109,0.0545601,0.1350407,2017
4101,"IV de Coquimbo","La Serena",24640,0.10244341,0.0902102,0.1173368,2017
4102,"IV de Coquimbo","Coquimbo",32438,0.134088,0.1196293,0.1540591,2017
4103,"IV de Coquimbo","Andacollo",1087,0.14848801,0.1173002,0.2022129,2017
4104,"IV de Coquimbo","La Higuera",769,0.20537325,0.1640558,0.2591924,2017
4105,"IV de Coquimbo","Paiguano",476,0.10481378,0.073104,0.1664886,2017
4106,"IV de Coquimbo","Vicuña",3227,0.12251948,0.0883193,0.164793,2017
4201,"IV de Coquimbo","Illapel",3623,0.12024203,0.0833894,0.1570221,2017
4202,"IV de Coquimbo","Canela",1835,0.25102221,0.2096392,0.3143257,2017
4203,"IV de Coquimbo","Los Vilos",2560,0.13812151,0.095638,0.1913288,2017
4204,"IV de Coquimbo","Salamanca",2884,0.12528704,0.0904377,0.1674696,2017
4301,"IV de Coquimbo","Ovalle",6604,0.05741716,0.0461037,0.0665706,2017
4302,"IV de Coquimbo","Combarbalá",1801,0.16209725,0.1219605,0.2045037,2017
4303,"IV de Coquimbo","Monte Patria",6804,0.21362812,0.1775703,0.2612272,2017
4304,"IV de Coquimbo","Punitaqui",2624,0.25163395,0.2140462,0.3153598,2017
4305,"IV de Coquimbo","Río Hurtado",684,0.17193623,0.099398,0.2068511,2017
3101,"III de Atacama","Copiapó",14340.79222752,0.08318904,0.06768839,0.0986897,2020
3102,"III de Atacama","Caldera",1989.92971986,0.10206338,0.07554984,0.12857692,2020
3103,"III de Atacama","Tierra Amarilla",1728.73681802,0.12057029,0.08858265,0.15255794,2020
3201,"III de Atacama","Chañaral",1336.65479727,0.10170089,0.07059478,0.13280699,2020
3202,"III de Atacama","Diego De Almagro",1148.38252248,0.08029524,0.05792919,0.10266129,2020
3301,"III de Atacama","Vallenar",5589.94854696,0.09798504,0.07721722,0.11875286,2020
3302,"III de Atacama","Alto Del Carmen",715.4348268,0.12474888,0.08003135,0.1694664,2020
3303,"III de Atacama","Freirina",965.19123162,0.12523566,0.08802491,0.16244642,2020
3304,"III de Atacama","Huasco",1050.28860867,0.09293767,0.0643742,0.12150114,2020
4101,"IV de Coquimbo","La Serena",29112.77652448,0.11570504,0.09105901,0.14035106,2020
4102,"IV de Coquimbo","Coquimbo",27842.22331,0.1075924,0.08325988,0.13192492,2020
4103,"IV de Coquimbo","Andacollo",1317.80388024,0.11168776,0.07835472,0.1450208,2020
4104,"IV de Coquimbo","La Higuera",695.17477663,0.15576401,0.11178527,0.19974274,2020
4105,"IV de Coquimbo","Paiguano",565.3513965,0.12093078,0.08182475,0.1600368,2020
4106,"IV de Coquimbo","Vicuña",4174.666974,0.13985484,0.10320077,0.1765089,2020
4201,"IV de Coquimbo","Illapel",3907.63871176,0.11899384,0.08160068,0.156387,2020
4202,"IV de Coquimbo","Canela",1396.64743272,0.14629176,0.10324041,0.1893431,2020
4203,"IV de Coquimbo","Los Vilos",3491.0431068,0.14858664,0.10902906,0.18814422,2020
4204,"IV de Coquimbo","Salamanca",2805.13713568,0.09601373,0.06165049,0.13037697,2020
4301,"IV de Coquimbo","Ovalle",13508.67311748,0.11107188,0.08188855,0.14025521,2020
4302,"IV de Coquimbo","Combarbalá",1859.8751545,0.13386175,0.09723186,0.17049165,2020
4303,"IV de Coquimbo","Monte Patria",5226.08037315,0.16048151,0.125136,0.19582702,2020
4304,"IV de Coquimbo","Punitaqui",1775.21887312,0.14541439,0.11018109,0.18064769,2020
4305,"IV de Coquimbo","Río Hurtado",565.6262008,0.12973078,0.09245371,0.16700785,2020
3101,"III de Atacama","Copiapó",12635,0.0723272003464545,0.0601364762400928,0.0845179244528163,2022
3102,"III de Atacama","Caldera",813,0.0411112141664641,0.016279290883123,0.0659431374498051,2022
3103,"III de Atacama","Tierra Amarilla",990,0.0687489601067055,0.0426442086669771,0.0948537115464339,2022
3201,"III de Atacama","Chañaral",1501,0.114619948848046,0.0851581115264297,0.144081786169662,2022
3202,"III de Atacama","Diego De Almagro",800,0.0568042556540798,0.0336387985341519,0.0799697127740077,2022
3301,"III de Atacama","Vallenar",6143,0.107278258970081,0.0883312410199449,0.126225276920218,2022
3302,"III de Atacama","Alto Del Carmen",868,0.150611289115299,0.0868215445898389,0.214401033640759,2022
3303,"III de Atacama","Freirina",1043,0.13386938290291,0.0909850992843694,0.176753666521451,2022
3304,"III de Atacama","Huasco",1306,0.113741278629582,0.0825856729754192,0.144896884283744,2022
4101,"IV de Coquimbo","La Serena",15450,0.0592880060549408,0.0403201848155777,0.0782558272943039,2022
4102,"IV de Coquimbo","Coquimbo",18956,0.0706443084531717,0.0478293657622691,0.0934592511440744,2022
4103,"IV de Coquimbo","Andacollo",1235,0.104502547053982,0.050478029942451,0.158527064165512,2022
4104,"IV de Coquimbo","La Higuera",485,0.107487973836508,0.0477594764220373,0.167216471250979,2022
4105,"IV de Coquimbo","Paiguano",389,0.0829195756913736,0.0185798466466102,0.147259304736137,2022
4106,"IV de Coquimbo","Vicuña",3301,0.109148585837204,0.0389431257441481,0.17935404593026,2022
4201,"IV de Coquimbo","Illapel",2655,0.0805249271472149,0.0380415457627642,0.123008308531666,2022
4202,"IV de Coquimbo","Canela",1555,0.163121017480692,0.100016018724909,0.226226016236475,2022
4203,"IV de Coquimbo","Los Vilos",2030,0.0845242652760587,0.0428951599844121,0.126153370567705,2022
4204,"IV de Coquimbo","Salamanca",2699,0.0910756655133426,0.0463435328578527,0.135807798168833,2022
4301,"IV de Coquimbo","Ovalle",11719,0.0950851247736988,0.0648883816591513,0.125281867888246,2022
4302,"IV de Coquimbo","Combarbalá",1527,0.109947381329821,0.0528873545267115,0.16700740813293,2022
4303,"IV de Coquimbo","Monte Patria",4169,0.127703937398395,0.0773581074164494,0.178049767380341,2022
4304,"IV de Coquimbo","Punitaqui",1793,0.144649480244397,0.0953920127602651,0.193906947728528,2022
4305,"IV de Coquimbo","Río Hurtado",336,0.0776795378842544,0.0211770004975881,0.134182075270921,2022
